,kalimat,intent,intent_num
0,halo,greetings,1
1,selamat pagi,greetings,1
2,selamat siang,greetings,1
3,selamat sore,greetings,1
4,selamat malam,greetings,1
5,permisi,greetings,1
6,apakah ini contact person schematics,greetings,1
7,apakah ini kontak person schematics,greetings,1
8,halo selamat pagi,greetings,1
9,halo selamat sore,greetings,1
10,halo selamat siang,greetings,1
11,halo selamat malam,greetings,1
12,perkenalkan nama saya saya ingin menanyakan sesuatu,greetings,1
13,perkenalkan saya dari tim dan sekolah ingin menanyakan sesuatu,greetings,1
14,siang,greetings,1
15,pagi,greetings,1
16,sore,greetings,1
17,malam,greetings,1
18,permisi apakah benar ini dari schematics,greetings,1
19,halo apa kabar,greetings,1
20,bagaimana kabar anda,greetings,1
21,apa benar ini schematics,greetings,1
22,permisi apa benar ini schematics,greetings,1
23,apakah benar ini narahubung,greetings,1
24,saya ingin bertanya sesuatu,greetings,1
25,ada yang ingin saya tanyakan,greetings,1
26,apa kabar,greetings,1
27,siapa anda,greetings,1
28,apa sih schematics itu,what is schematics,2
29,terdiri dari apa saja kegiatan schematics,what is schematics,2
30,apa saja event yang ada di schematics,what is schematics,2
31,coba ceritakan apa saja isinya schematics,what is schematics,2
32,schematics,what is schematics,2
33,siapa yang mengadakan event schematics,what is schematics,2
34,schematics diadakan oleh siapa,what is schematics,2
35,mengapa schematics diadakan,what is schematics,2
36,event apa saja yang ada di schematics,what is schematics,2
37,event nya schematics,what is schematics,2
38,kegiatannya schematics apa saja sih,what is schematics,2
39,kegiatannya schematics apa aja sih,what is schematics,2
40,apa itu schematics,what is schematics,2
41,coba ceritakan tentang schematics,what is schematics,2
42,mohon jelaskan pada saya tentang schematics,what is schematics,2
43,jelaskan kepada saya apa itu schematics dong,what is schematics,2
44,ceritakan schematics dong,what is schematics,2
45,event schematics,what is schematics,2
46,sebenarnya acara apa schematics ini,what is schematics,2
47,nlc,what is nlc,3
48,national logic competition,what is nlc,3
49,national logic competitions,what is nlc,3
50,apa itu nlc,what is nlc,3
51,apa itu national logic competition,what is nlc,3
52,definisikan nlc,what is nlc,3
53,definisikan national logic competition,what is nlc,3
54,apa sih nlc itu,what is nlc,3
55,apa sih national logic competition itu,what is nlc,3
56,lomba apa sih nlc itu,what is nlc,3
57,lomba apa sih national logic competition itu,what is nlc,3
58,apa yang dilombakan di nlc,what is nlc,3
59,apa yang dilombakan di national logic competition,what is nlc,3
60,lomba yang seperti apa sih nlc itu,what is nlc,3
61,lomba yang seperti apa sih national logic competition itu,what is nlc,3
62,jelaskan pada saya nlc,what is nlc,3
63,jelaskan pada saya national logic competiion,what is nlc,3
64,mohon terangkan nlc,what is nlc,3
65,mohon terangkan national logic competition,what is nlc,3
66,bisa kah anda jelaskan pada saya tentang nlc,what is nlc,3
67,bisa kah anda jelaskan pada saya tentang national logic competition,what is nlc,3
68,apa yang dilombakan di nlc,what is nlc,3
69,apa yang dilombakan di national logic competition,what is nlc,3
70,npc,what is npc,4
71,national programming contest,what is npc,4
72,national programming contests,what is npc,4
73,apa itu npc,what is npc,4
74,apa itu national programming contest,what is npc,4
75,definisikan npc,what is npc,4
76,definisikan national programming contest,what is npc,4
77,apa sih npc itu,what is npc,4
78,apa sih national programming contest itu,what is npc,4
79,lomba apa sih npc itu,what is npc,4
80,lomba apa sih national programming contest itu,what is npc,4
81,apa yang dilombakan di npc,what is npc,4
82,apa yang dilombakan di national programming contest,what is npc,4
83,lomba yang seperti apa sih npc itu,what is npc,4
84,lomba yang seperti apa sih national programming contest itu,what is npc,4
85,jelaskan pada saya npc,what is npc,4
86,jelaskan pada saya national programming contest,what is npc,4
87,mohon terangkan npc,what is npc,4
88,mohon terangkan national programming contest,what is npc,4
89,bisa kah anda jelaskan pada saya tentang npc,what is npc,4
90,bisa kah anda jelaskan pada saya tentang national programming contest,what is npc,4
91,apa yang dilombakan di npc,what is npc,4
92,apa yang dilombakan di national programming contest,what is npc,4
93,kenapa harus ikut nlc,benefit nlc,5
94,kenapa harus ikut national logic competition,benefit nlc,5
95,mengapa harus ikut nlc,benefit nlc,5
96,mengapa harus ikut national logic competition,benefit nlc,5
97,apa yang menarik dari nlc,benefit nlc,5
98,apa yang menarik dari national logic competition,benefit nlc,5
99,apa keuntungan dari nlc,benefit nlc,5
100,apa keuntungan dari national logic competition,benefit nlc,5
101,apa untungnya ikut nlc,benefit nlc,5
102,apa untungnya ikut national logic competition,benefit nlc,5
103,mengapa nlc menguntungkan bagi saya,benefit nlc,5
104,mengapa national logic competition menguntungkan bagi saya,benefit nlc,5
105,apa yang bisa saya dapatkan dari nlc,benefit nlc,5
106,apa yang bisa saya dapatkan dari national logic competition,benefit nlc,5
107,jelaskan pada saya apa keuntungan mengikuti nlc,benefit nlc,5
108,jelaskan pada saya apa keuntungan mengikuti national logic competition,benefit nlc,5
109,jelaskan mengapa saya harus ikut nlc,benefit nlc,5
110,jelaskan mengapa saya harus ikut national logic competition,benefit nlc,5
111,terangkan pada saya benefit mengikuti nlc,benefit nlc,5
112,terangkan pada saya benefit mengikuti national logic competition,benefit nlc,5
113,keuntungan nlc,benefit nlc,5
114,keuntungan national logic competition,benefit nlc,5
115,benefit nlc,benefit nlc,5
116,benefit national logic competition,benefit nlc,5
117,kenapa harus ikut npc,benefit npc,6
118,kenapa harus ikut national programming contest,benefit npc,6
119,mengapa harus ikut npc,benefit npc,6
120,mengapa harus ikut national programming contest,benefit npc,6
121,apa yang menarik dari npc,benefit npc,6
122,apa yang menarik dari national programming contest,benefit npc,6
123,apa keuntungan dari npc,benefit npc,6
124,apa keuntungan dari national programming contest,benefit npc,6
125,apa untungnya ikut npc,benefit npc,6
126,apa untungnya ikut national programming contest,benefit npc,6
127,mengapa npc menguntungkan bagi saya,benefit npc,6
128,mengapa national programming contest menguntungkan bagi saya,benefit npc,6
129,apa yang bisa saya dapatkan dari npc,benefit npc,6
130,apa yang bisa saya dapatkan dari national programming contest,benefit npc,6
131,jelaskan pada saya apa keuntungan mengikuti npc,benefit npc,6
132,jelaskan pada saya apa keuntungan mengikuti national programming contest,benefit npc,6
133,jelaskan mengapa saya harus ikut npc,benefit npc,6
134,jelaskan mengapa saya harus ikut national programming contest,benefit npc,6
135,terangkan pada saya benefit mengikuti npc,benefit npc,6
136,terangkan pada saya benefit mengikuti national programming contest,benefit npc,6
137,keuntungan npc,benefit npc,6
138,keuntungan national programming contest,benefit npc,6
139,benefit npc,benefit npc,6
140,benefit national programming contest,benefit npc,6
141,bagaimana sih contoh soal nlc,soal nlc,7
142,bagaimana sih contoh soal national programming contest,soal nlc,7
143,kasih contoh soal nlc dong,soal nlc,7
144,kasih contoh soal national logic competition dong,soal nlc,7
145,kisi-kisi soal nlc,soal nlc,7
146,kisi-kisi soal national logic competition,soal nlc,7
147,kisi kisi soal nlc,soal nlc,7
148,kisi kisi soal national logic competition,soal nlc,7
149,kasih contoh kisi-kisi soal nlc dong,soal nlc,7
150,kasih contoh kisi-kisi soal national logic competition dong,soal nlc,7
151,apa aja yang ditanyakan di nlc,soal nlc,7
152,apa aja yang ditanyakan di  national logic competition,soal nlc,7
153,bagaimana sih bentuk soal nlc,soal nlc,7
154,bagaimana sih bentuk soal national logic competition,soal nlc,7
155,jenis soal nlc,soal nlc,7
156,jenis soal national logic competition,soal nlc,7
157,Jenis-jenis soal nlc,soal nlc,7
158,Jenis-jenis soal national logic competition,soal nlc,7
159,Soal-soal nlc,soal nlc,7
160,Soal-soal national logic competition,soal nlc,7
161,soal nlc,soal nlc,7
162,soal national logic competition,soal nlc,7
163,saya ingin ikut npc tapi tidak bisa programming,cannot code yet,8
164,saya ingin ikut national programming contest tapi tidak bisa programming,cannot code yet,8
165,ingin ikut npc belum bisa programming,cannot code yet,8
166,ingin ikut national programming contest belum bisa programming,cannot code yet,8
167,belum mengerti bahasa pemrograman,cannot code yet,8
168,saya belum pernah programming,cannot code yet,8
169,tidak mengerti programming,cannot code yet,8
170,apakah hanya yang bisa programming saya yang bisa ikut,cannot code yet,8
171,tidak mengerti bahasa pemrograman tapi ingin ikut national programming contest npc,cannot code yet,8
172,apakah nanti disediakan tutorial,cannot code yet,8
173,apakah nanti diajarkan programming oleh schematics npc,cannot code yet,8
174,bagaimana jika belum bisa melakukan pemrograman,cannot code yet,8
175,apakah harus bisa programming baru boleh ikut npc,cannot code yet,8
176,apakah harus bisa programming baru boleh ikut national programming contest,cannot code yet,8
177,apakah newbie bisa ikut npc,cannot code yet,8
178,apakah newbie bisa ikutan national programming contest,cannot code yet,8
179,apakah npc bisa diikuti yang baru belajar pemrograman,cannot code yet,8
180,apakah national programming contest bisa diikuti yang baru belajar pemrograman,cannot code yet,8
181,baru belajar programming,cannot code yet,8
182,baru belajar bahasa,cannot code yet,8
183,baru belajar pemrograman,cannot code yet,8
184,baru belajar coding,cannot code yet,8
185,belum bisa coding,cannot code yet,8
186,belum pernah coding sebelumnya,cannot code yet,8
187,saya belum pernah coding sebelumnya apakah bisa ikut npc,cannot code yet,8
188,saya belum jago pemrograman apakah saya bisa ikut npc,cannot code yet,8
189,apakah saya bisa ikut national programming contest padahal saya belum pernah coding sebelumnya,cannot code yet,8
190,apakah national programming contest hanya untuk yang jago coding saja,cannot code yet,8
191,bagaimana jika saya belum perna coding sama sekali,cannot code yet,8
192,apakah saya punya kesempatan menang jika belum bisa coding,cannot code yet,8
193,apakah lombanya npc susah,cannot code yet,8
194,apakah lomba national programming contest susah,cannot code yet,8
195,kapan nlc diadakan,where when nlc,9
196,kapan national logic competition diadakan,where when nlc,9
197,dimana nlc diadakan,where when nlc,9
198,dimana national logic competition diadakan,where when nlc,9
199,kapan dan dimana nlc diadakan,where when nlc,9
200,kapan dan dimana national logic competition diadakan,where when nlc,9
201,kapan nlc dihelat,where when nlc,9
202,dimana nlc dihelat,where when nlc,9
203,dimana national logic competition dihelat,where when nlc,9
204,apakah nlc diadakan di its,where when nlc,9
205,apakah national logic competition diadakan di its,where when nlc,9
206,apakah nlc di adakan di teknik informatika its,where when nlc,9
207,apakah national logic competition diadakan di teknik informatika its,where when nlc,9
208,apakah national logic competition diadakan di kota saya,where when nlc,9
209,apakah national logic competition diadakan di kota surabaya,where when nlc,9
210,apakah national logic competition diadakan di kota jakarta,where when nlc,9
211,apakah national logic competition diadakan di kota medan,where when nlc,9
